supervisor_id,student_id,score
7,24,0.8554
31,24,0.1479
22,24,0.8029
24,24,0.6178
15,24,0.1269
13,25,0.1605
23,25,0.2897
3,25,0.5733
4,25,0.1828
6,25,0.1752
11,26,0.1254
27,26,0.4926
29,26,0.1796
13,26,0.2279
21,26,0.5316
18,27,0.8125
3,27,0.6663
29,27,0.6622
11,27,0.657
7,27,0.5868
10,28,0.2161
26,28,0.2801
27,28,0.421
9,28,0.3685
19,28,0.3435
10,29,0.704
3,29,0.6009
19,29,0.4589
29,29,0.2081
17,29,0.4199
3,30,0.4281
7,30,0.7251
10,30,0.5069
27,30,0.3557
29,30,0.7203
13,31,0.7361
17,31,0.5694
18,31,0.4759
4,31,0.1827
30,31,0.1978
14,32,0.4524
5,32,0.3506
32,32,0.281
20,32,0.2142
17,32,0.3875
4,33,0.6234
29,33,0.1601
31,33,0.7674
16,33,0.1584
20,33,0.6072
21,34,0.8577
24,34,0.1791
26,34,0.6113
4,34,0.6643
30,34,0.8643
18,35,0.8583
3,35,0.6275
14,35,0.6021
5,35,0.2032
12,35,0.1608
11,36,0.4401
20,36,0.1587
9,36,0.3524
6,36,0.2349
19,36,0.5286
6,37,0.1053
24,37,0.4077
29,37,0.7065
3,37,0.3379
11,37,0.334
3,38,0.8189
9,38,0.2388
10,38,0.6434
13,38,0.3977
30,38,0.2
10,39,0.8151
15,39,0.6063
3,39,0.8145
5,39,0.1149
20,39,0.1893
17,40,0.3912
22,40,0.4144
24,40,0.3634
13,40,0.6582
1,40,0.3543
26,41,0.7914
14,41,0.134
30,41,0.353
31,41,0.7456
16,41,0.0973
5,42,0.5883
6,42,0.6704
21,42,0.4319
30,42,0.4212
29,42,0.1582
5,43,0.6447
14,43,0.8165
12,43,0.4422
26,43,0.134
1,43,0.2002
20,44,0.5108
31,44,0.6134
2,44,0.3804
26,44,0.6341
1,44,0.1905
27,45,0.4845
8,45,0.1625
31,45,0.353
28,45,0.5622
10,45,0.3553
22,46,0.2442
30,46,0.5905
24,46,0.3863
12,46,0.1365
16,46,0.6212
23,47,0.2199
26,47,0.1899
24,47,0.6091
22,47,0.8778
21,47,0.1355
17,48,0.4455
18,48,0.1334
31,48,0.3454
1,48,0.226
22,48,0.142
15,49,0.7676
29,49,0.4491
1,49,0.5931
3,49,0.4578
13,49,0.3472
19,50,0.6372
22,50,0.2325
12,50,0.5787
17,50,0.761
20,50,0.2283
22,51,0.4951
29,51,0.4395
21,51,0.3354
9,51,0.264
8,51,0.1575
13,52,0.7392
1,52,0.3303
21,52,0.1856
25,52,0.5973
15,52,0.4293
18,53,0.7668
16,53,0.4416
22,53,0.1595
23,53,0.5767
13,53,0.3759
25,54,0.2067
13,54,0.3637
15,54,0.5163
30,54,0.121
14,54,0.3836
17,55,0.2181
30,55,0.2669
8,55,0.288
9,55,0.3228
20,55,0.6199
9,56,0.5801
19,56,0.3521
4,56,0.4211
29,56,0.2121
15,56,0.4949
29,57,0.4206
15,57,0.6033
18,57,0.5905
1,57,0.4816
7,57,0.4457
23,58,0.6358
19,58,0.5911
31,58,0.5103
14,58,0.5871
1,58,0.6846
24,59,0.5297
25,59,0.4532
32,59,0.5793
13,59,0.4388
17,59,0.6624
16,60,0.0981
3,60,0.1075
1,60,0.0824
29,60,0.3301
6,60,0.5543
8,61,0.4074
15,61,0.6009
7,61,0.4964
16,61,0.4921
27,61,0.2187
20,62,0.8916
3,62,0.2674
26,62,0.6683
6,62,0.8771
30,62,0.9164
8,63,0.5228
5,63,0.4222
19,63,0.3912
29,63,0.1186
20,63,0.1387
6,64,0.5083
16,64,0.2953
10,64,0.6689
15,64,0.5125
3,64,0.7257
15,65,0.7926
29,65,0.6589
11,65,0.5693
23,65,0.8151
10,65,0.5772
32,66,0.8051
5,66,0.1401
9,66,0.1497
25,66,0.622
16,66,0.7921
22,67,0.4359
27,67,0.1888
26,67,0.2251
18,67,0.4182
23,67,0.7264
13,68,0.7839
29,68,0.2085
12,68,0.5511
19,68,0.3673
17,68,0.5953
12,69,0.3694
4,69,0.3015
6,69,0.2549
27,69,0.269
7,69,0.406
22,70,0.3779
3,70,0.6121
26,70,0.1847
13,70,0.2875
29,70,0.1176
3,71,0.1543
32,71,0.8239
16,71,0.7858
4,71,0.1453
25,71,0.6685
10,72,0.5331
16,72,0.6924
28,72,0.4338
31,72,0.4913
15,72,0.5246
12,73,0.2029
7,73,0.3385
19,73,0.3812
5,73,0.2585
13,73,0.1634
25,74,0.4407
17,74,0.4629
19,74,0.6054
28,74,0.7035
32,74,0.5648
5,75,0.1934
25,75,0.8598
18,75,0.2028
20,75,0.5726
4,75,0.1949
29,76,0.1179
20,76,0.4882
23,76,0.2586
26,76,0.5555
27,76,0.1786
26,77,0.8112
4,77,0.7115
21,77,0.673
13,77,0.4995
31,77,0.8295
25,78,0.4902
23,78,0.4016
17,78,0.2304
11,78,0.6048
21,78,0.2095
29,79,0.1747
5,79,0.5946
11,79,0.5344
1,79,0.2545
23,79,0.3598
29,80,0.156
8,80,0.1855
32,80,0.5028
15,80,0.212
28,80,0.5275
14,81,0.5076
15,81,0.7333
1,81,0.5526
16,81,0.6148
26,81,0.1939
18,82,0.5968
13,82,0.7943
19,82,0.3857
11,82,0.6026
12,82,0.828
28,83,0.4389
10,83,0.6552
7,83,0.1843
19,83,0.4322
26,83,0.2194
7,84,0.1735
24,84,0.478
9,84,0.2704
5,84,0.3066
13,84,0.5215
31,85,0.8563
4,85,0.5978
29,85,0.2324
26,85,0.8126
1,85,0.141
5,86,0.2394
14,86,0.41
21,86,0.2633
15,86,0.5243
10,86,0.5878
4,87,0.6669
26,87,0.8722
27,87,0.1647
6,87,0.2531
28,87,0.4777
26,88,0.6178
22,88,0.3924
10,88,0.3818
20,88,0.4715
8,88,0.3427
12,89,0.2475
22,89,0.3342
20,89,0.4131
28,89,0.7347
19,89,0.6028
32,90,0.8151
16,90,0.8125
5,90,0.225
29,90,0.2114
28,90,0.8185
15,91,0.3018
22,91,0.6553
21,91,0.0752
1,91,0.1978
7,91,0.4842
23,92,0.1184
13,92,0.468
9,92,0.2542
31,92,0.0974
27,92,0.2521
8,93,0.5772
4,93,0.7758
1,93,0.7556
19,93,0.6291
7,93,0.1851
24,94,0.7869
17,94,0.8735
12,94,0.8659
18,94,0.6174
13,94,0.7805
24,95,0.528
13,95,0.5809
2,95,0.2035
3,95,0.738
15,95,0.3807
18,96,0.6814
10,96,0.3048
20,96,0.1701
19,96,0.4736
30,96,0.2144
18,97,0.8238
14,97,0.5934
29,97,0.5806
3,97,0.6278
12,97,0.1092
4,98,0.5084
25,98,0.2602
19,98,0.5427
20,98,0.2334
23,98,0.2132
20,99,0.8524
32,99,0.4407
8,99,0.1902
9,99,0.6681
21,99,0.811
15,100,0.6904
13,100,0.3789
22,100,0.3535
16,100,0.5392
12,100,0.1572
2,101,0.201
3,101,0.555
13,101,0.6286
11,101,0.4841
24,101,0.6224
2,102,0.7571
7,102,0.5878
19,102,0.1606
30,102,0.0994
1,102,0.1394
3,103,0.5012
10,103,0.6347
16,103,0.3964
15,103,0.427
31,103,0.1963
31,104,0.344
2,104,0.0707
22,104,0.4585
32,104,0.1394
25,104,0.5115
2,105,0.2002
25,105,0.2435
27,105,0.276
19,105,0.4838
15,105,0.5199
8,106,0.4613
28,106,0.4261
22,106,0.4646
21,106,0.6377
31,106,0.8208
18,107,0.4089
2,107,0.7615
10,107,0.1776
15,107,0.131
14,107,0.1509
18,108,0.4759
22,108,0.3148
12,108,0.5203
11,108,0.4732
13,108,0.7219
15,109,0.4449
4,109,0.1006
24,109,0.0944
10,109,0.5086
31,109,0.0843
24,110,0.5521
13,110,0.6246
12,110,0.5987
4,110,0.3958
19,110,0.4993
13,111,0.7916
6,111,0.2604
23,111,0.3759
7,111,0.2547
12,111,0.6261
26,112,0.5823
8,112,0.2909
9,112,0.1431
13,112,0.5501
18,112,0.2894
24,113,0.2684
15,113,0.471
28,113,0.4101
2,113,0.1304
20,113,0.4951
18,114,0.642
23,114,0.6046
19,114,0.4468
7,114,0.6269
16,114,0.4844
18,115,0.795
23,115,0.7847
7,115,0.5968
19,115,0.5798
31,115,0.6053
27,116,0.622
16,116,0.1457
13,116,0.4386
11,116,0.3884
3,116,0.337
21,117,0.1669
11,117,0.6428
31,117,0.6761
17,117,0.2133
3,117,0.7108
23,118,0.2353
8,118,0.2749
24,118,0.2338
19,118,0.5933
25,118,0.502
9,119,0.8811
1,119,0.859
26,119,0.4019
6,119,0.4109
27,119,0.8375
20,120,0.6687
16,120,0.2931
8,120,0.1042
13,120,0.4675
6,120,0.3483
16,121,0.4375
3,121,0.6603
23,121,0.6029
31,121,0.4907
15,121,0.5677
3,122,0.6685
4,122,0.161
7,122,0.6131
15,122,0.811
14,122,0.6262
6,123,0.1922
9,123,0.1279
4,123,0.3246
14,123,0.1632
2,123,0.1542
2,124,0.5562
21,124,0.412
3,124,0.182
13,124,0.267
22,124,0.2911
26,125,0.229
18,125,0.5891
24,125,0.2165
7,125,0.7045
8,125,0.2359
20,126,0.4195
4,126,0.4797
25,126,0.1985
32,126,0.287
1,126,0.1472
17,127,0.1335
26,127,0.4642
15,127,0.2695
14,127,0.2448
11,127,0.4077
21,128,0.4123
22,128,0.1292
15,128,0.4367
20,128,0.384
18,128,0.18
20,129,0.2027
9,129,0.4406
23,129,0.1389
5,129,0.6357
11,129,0.59
4,130,0.512
19,130,0.4081
15,130,0.5395
32,130,0.389
7,130,0.3665
20,131,0.2561
23,131,0.582
22,131,0.2347
12,131,0.4198
13,131,0.4282
31,132,0.2856
16,132,0.5744
10,132,0.5255
32,132,0.5472
28,132,0.5066
1,133,0.49
25,133,0.58
10,133,0.3909
15,133,0.6183
19,133,0.1965
22,134,0.4276
13,134,0.4412
15,134,0.4688
18,134,0.2077
3,134,0.2261
12,135,0.101
22,135,0.7063
19,135,0.147
6,135,0.0807
20,135,0.2753
13,136,0.4627
11,136,0.5758
29,136,0.2942
1,136,0.4682
19,136,0.5267
6,137,0.389
4,137,0.6133
8,137,0.5866
17,137,0.2003
20,137,0.3474
13,138,0.524
7,138,0.1621
16,138,0.2882
5,138,0.1656
25,138,0.4849
24,139,0.6004
22,139,0.5386
27,139,0.6071
16,139,0.4547
32,139,0.4349
28,140,0.3333
1,140,0.3708
16,140,0.1524
24,140,0.239
8,140,0.3354
26,141,0.2004
12,141,0.5368
25,141,0.3302
13,141,0.6141
18,141,0.4046
10,142,0.2656
31,142,0.2917
1,142,0.3169
11,142,0.2695
8,142,0.5819
29,143,0.2497
26,143,0.3026
24,143,0.2526
4,143,0.3755
15,143,0.2374
15,144,0.4677
6,144,0.1433
13,144,0.4869
29,144,0.1293
18,144,0.1964
21,145,0.4624
10,145,0.2598
28,145,0.5481
30,145,0.4044
7,145,0.3272
18,146,0.6174
3,146,0.5628
11,146,0.5506
1,146,0.3332
13,146,0.5429
22,147,0.4038
25,147,0.5214
9,147,0.4202
1,147,0.3957
23,147,0.4055
6,148,0.2247
8,148,0.6315
30,148,0.1949
14,148,0.5915
24,148,0.2637
26,149,0.9145
4,149,0.6967
31,149,0.925
27,149,0.22
21,149,0.6987
2,150,0.8826
7,150,0.6465
13,150,0.1467
18,150,0.4747
22,150,0.1636
21,151,0.4332
8,151,0.4679
4,151,0.6344
1,151,0.3885
26,151,0.6544
17,152,0.4311
12,152,0.218
5,152,0.2046
18,152,0.2138
19,152,0.4225
26,153,0.5388
31,153,0.7283
11,153,0.3424
18,153,0.3763
10,153,0.321
26,154,0.4503
19,154,0.5259
15,154,0.1983
27,154,0.4151
10,154,0.2853
13,155,0.2536
12,155,0.2837
6,155,0.6906
10,155,0.2387
11,155,0.8978
23,156,0.4738
15,156,0.4538
14,156,0.5082
13,156,0.4327
1,156,0.4529
12,157,0.281
2,157,0.4346
22,157,0.1045
20,157,0.1329
15,157,0.15
25,158,0.1847
13,158,0.2053
4,158,0.3583
22,158,0.5497
27,158,0.5276
18,159,0.5696
14,159,0.474
15,159,0.7759
13,159,0.6052
26,159,0.2397
15,160,0.0912
18,160,0.067
1,160,0.4055
32,160,0.1535
9,160,0.3751
21,161,0.602
4,161,0.6091
6,161,0.2213
16,161,0.1552
1,161,0.1727
20,162,0.1685
26,162,0.2483
17,162,0.4643
11,162,0.3655
13,162,0.4696
13,163,0.563
10,163,0.3298
27,163,0.1538
3,163,0.6713
12,163,0.5394
20,164,0.1394
32,164,0.184
22,164,0.1668
23,164,0.4661
12,164,0.1871
4,165,0.3382
25,165,0.1273
19,165,0.5248
29,165,0.4031
22,165,0.1803
24,166,0.8305
12,166,0.6237
18,166,0.5482
22,166,0.4388
25,166,0.2194
12,167,0.3344
3,167,0.4881
29,167,0.4457
8,167,0.4663
15,167,0.6064
17,168,0.3053
22,168,0.3394
11,168,0.3258
25,168,0.2848
21,168,0.498
19,169,0.605
32,169,0.6161
25,169,0.4594
28,169,0.6494
16,169,0.5793
3,170,0.3128
15,170,0.6808
28,170,0.1322
1,170,0.4717
6,170,0.1981
17,171,0.8497
13,171,0.8356
12,171,0.8866
18,171,0.6815
24,171,0.871
20,172,0.2025
23,172,0.6069
1,172,0.4391
18,172,0.5583
22,172,0.2108
24,173,0.5384
15,173,0.3188
27,173,0.2852
17,173,0.5541
20,173,0.3183
19,174,0.4858
15,174,0.7177
18,174,0.5309
3,174,0.7011
23,174,0.6443
2,175,0.7842
29,175,0.1372
26,175,0.1354
7,175,0.5585
6,175,0.134
17,176,0.7898
24,176,0.794
15,176,0.1257
13,176,0.7981
18,176,0.5824
23,177,0.636
22,177,0.2709
26,177,0.1468
18,177,0.5675
31,177,0.3489
7,178,0.5834
24,178,0.5109
22,178,0.8161
29,178,0.6223
28,178,0.2328
14,179,0.5154
2,179,0.2216
10,179,0.7124
7,179,0.4662
18,179,0.577
4,180,0.4007
30,180,0.2808
12,180,0.1396
20,180,0.585
31,180,0.5023
4,181,0.1991
31,181,0.5241
1,181,0.3561
19,181,0.7714
23,181,0.4113
13,182,0.5939
12,182,0.5992
17,182,0.5938
25,182,0.2212
19,182,0.5282
20,183,0.2427
25,183,0.6915
31,183,0.5009
19,183,0.8118
28,183,0.8147
2,184,0.3491
21,184,0.1067
22,184,0.4198
4,184,0.1072
24,184,0.1479
1,185,0.1707
30,185,0.5624
28,185,0.7025
16,185,0.5914
21,185,0.6053
20,186,0.6731
4,186,0.4969
8,186,0.3688
12,186,0.164
30,186,0.3644
16,187,0.4791
18,187,0.2508
27,187,0.4146
21,187,0.4636
30,187,0.4078
3,188,0.6903
14,188,0.4059
8,188,0.2591
10,188,0.5107
4,188,0.2992
31,189,0.807
26,189,0.8278
15,189,0.19
20,189,0.654
1,189,0.2149
7,190,0.2103
31,190,0.8501
28,190,0.5102
27,190,0.2358
29,190,0.2337
6,191,0.2729
1,191,0.7183
23,191,0.6282
31,191,0.5142
11,191,0.4802
21,192,0.1816
15,192,0.4497
18,192,0.6197
10,192,0.246
5,192,0.1689
6,193,0.4731
23,193,0.1879
18,193,0.192
1,193,0.856
8,193,0.604
3,194,0.4791
4,194,0.2982
17,194,0.561
7,194,0.1801
12,194,0.5836
29,195,0.6927
15,195,0.5193
18,195,0.5593
11,195,0.4346
22,195,0.3848
24,196,0.7062
13,196,0.6194
32,196,0.576
6,196,0.2241
16,196,0.4187
15,197,0.4558
3,197,0.5966
8,197,0.3657
27,197,0.3923
1,197,0.5538
9,198,0.5923
24,198,0.1653
28,198,0.2464
6,198,0.5532
1,198,0.6635
11,199,0.5712
32,199,0.4176
30,199,0.3246
17,199,0.336
27,199,0.3823
31,200,0.1883
3,200,0.3673
14,200,0.12
13,200,0.4149
1,200,0.1923
15,201,0.7488
22,201,0.156
7,201,0.571
16,201,0.6047
18,201,0.7325
10,202,0.2104
31,202,0.1723
12,202,0.5903
25,202,0.3836
13,202,0.7206
28,203,0.4975
15,203,0.4501
14,203,0.3493
7,203,0.2214
32,203,0.4793
10,204,0.6814
15,204,0.8796
23,204,0.8857
19,204,0.6681
1,204,0.6867
15,205,0.4923
13,205,0.4537
32,205,0.2053
2,205,0.4149
28,205,0.1264
19,206,0.3546
26,206,0.1644
27,206,0.3431
1,206,0.316
15,206,0.4037
24,207,0.3819
20,207,0.191
25,207,0.4879
32,207,0.6064
2,207,0.5042
12,208,0.6785
27,208,0.45
11,208,0.5239
24,208,0.6717
32,208,0.3904
16,209,0.1717
11,209,0.1664
23,209,0.2345
31,209,0.2334
25,209,0.2089
12,210,0.304
22,210,0.0766
7,210,0.0776
11,210,0.5563
29,210,0.0743
29,211,0.8852
32,211,0.2125
24,211,0.6774
28,211,0.2389
7,211,0.8406
23,212,0.4994
14,212,0.3627
15,212,0.4642
32,212,0.1705
16,212,0.4145
4,213,0.2971
22,213,0.59
28,213,0.2749
24,213,0.3964
16,213,0.2366
11,214,0.6833
13,214,0.4438
24,214,0.4639
22,214,0.2087
25,214,0.2124
15,215,0.438
28,215,0.219
8,215,0.2004
13,215,0.2226
16,215,0.356
2,216,0.5576
27,216,0.1755
26,216,0.3525
31,216,0.4214
13,216,0.1942
8,217,0.3771
24,217,0.4378
13,217,0.6027
21,217,0.4208
32,217,0.2713
2,218,0.1436
13,218,0.331
31,218,0.6636
25,218,0.3663
27,218,0.2844
4,219,0.1182
11,219,0.6073
22,219,0.436
29,219,0.3715
6,219,0.4827
19,220,0.1369
9,220,0.2155
26,220,0.5388
22,220,0.4789
13,220,0.4058
22,221,0.5144
31,221,0.6747
10,221,0.3842
13,221,0.4564
26,221,0.5775
10,222,0.8199
23,222,0.3889
24,222,0.1837
15,222,0.6326
9,222,0.1621
31,223,0.43
23,223,0.4384
30,223,0.2499
20,223,0.5869
9,223,0.3022
18,224,0.1758
14,224,0.2764
2,224,0.1607
4,224,0.5062
20,224,0.4769
21,225,0.2858
32,225,0.334
24,225,0.2209
22,225,0.1799
30,225,0.2603
30,226,0.3486
27,226,0.6209
24,226,0.5226
32,226,0.3609
29,226,0.5466
23,227,0.427
3,227,0.5237
24,227,0.0839
9,227,0.1683
26,227,0.1246
19,228,0.4772
17,228,0.5059
23,228,0.1175
13,228,0.5338
1,228,0.3991
22,229,0.4234
30,229,0.1693
13,229,0.6891
29,229,0.2901
3,229,0.4505
11,230,0.3389
5,230,0.2339
1,230,0.5739
8,230,0.4607
12,230,0.4639
13,231,0.5034
4,231,0.4406
20,231,0.4288
2,231,0.2092
25,231,0.5711
30,232,0.7305
6,232,0.803
2,232,0.1266
24,232,0.1328
9,232,0.5793
24,233,0.7864
13,233,0.7751
17,233,0.8133
18,233,0.5794
11,233,0.6063
11,234,0.7285
9,234,0.138
3,234,0.3195
23,234,0.3306
18,234,0.3475
12,235,0.7502
3,235,0.5249
18,235,0.601
24,235,0.7841
13,235,0.8004
6,236,0.1964
24,236,0.8612
19,236,0.4873
17,236,0.8175
12,236,0.8045
9,237,0.1108
18,237,0.3631
22,237,0.358
19,237,0.2872
13,237,0.4618
12,238,0.5128
8,238,0.3107
27,238,0.4826
24,238,0.647
29,238,0.3924
20,239,0.6614
2,239,0.1775
31,239,0.9071
32,239,0.258
26,239,0.879
15,240,0.2143
10,240,0.2899
20,240,0.4842
26,240,0.6298
31,240,0.7128
13,241,0.5598
30,241,0.1947
20,241,0.3151
31,241,0.1485
32,241,0.2682
1,242,0.8039
9,242,0.7763
11,242,0.1294
4,242,0.7392
6,242,0.3751
30,243,0.6847
9,243,0.1403
24,243,0.439
17,243,0.6023
25,243,0.6695
8,244,0.4854
19,244,0.4627
1,244,0.6647
23,244,0.3483
9,244,0.6545
14,245,0.2528
4,245,0.4927
1,245,0.5808
29,245,0.131
26,245,0.3397
18,246,0.4979
17,246,0.7548
3,246,0.4835
11,246,0.507
13,246,0.6
4,247,0.1414
22,247,0.5481
2,247,0.3385
30,247,0.1044
19,247,0.13
13,248,0.1109
9,248,0.172
7,248,0.5567
24,248,0.3824
30,248,0.123
12,249,0.225
27,249,0.5612
10,249,0.2726
23,249,0.1617
4,249,0.1645
16,250,0.4593
24,250,0.2688
26,250,0.3379
25,250,0.3736
4,250,0.3994
22,251,0.2413
12,251,0.6637
5,251,0.1877
13,251,0.5736
24,251,0.6107
30,252,0.2692
32,252,0.1678
22,252,0.3353
23,252,0.1601
3,252,0.1944
23,253,0.1668
22,253,0.2458
13,253,0.4856
15,253,0.1586
20,253,0.648
4,254,0.3911
28,254,0.489
20,254,0.3916
31,254,0.6521
22,254,0.3083
15,255,0.6446
3,255,0.864
1,255,0.4396
14,255,0.4511
23,255,0.4376
16,256,0.699
11,256,0.6226
14,256,0.6245
2,256,0.1607
19,256,0.6124
1,257,0.4964
3,257,0.523
13,257,0.6005
27,257,0.4852
18,257,0.463
23,258,0.3998
30,258,0.3833
13,258,0.4051
20,258,0.6476
8,258,0.1663
32,259,0.147
17,259,0.185
7,259,0.3945
9,259,0.3301
13,259,0.4876
29,260,0.2189
17,260,0.2463
1,260,0.3174
31,260,0.2091
3,260,0.6421
12,261,0.6029
28,261,0.2135
24,261,0.568
17,261,0.5534
6,261,0.1359
24,262,0.3428
9,262,0.2268
14,262,0.3762
27,262,0.4347
20,262,0.1445
10,263,0.8421
3,263,0.8488
14,263,0.4967
15,263,0.6741
32,263,0.2077
26,264,0.5589
16,264,0.1257
30,264,0.8107
21,264,0.8191
9,264,0.6476
27,265,0.1246
22,265,0.1797
14,265,0.2937
15,265,0.4235
23,265,0.3559
24,266,0.2234
15,266,0.5332
3,266,0.6605
23,266,0.3868
20,266,0.3961
26,267,0.6461
1,267,0.3762
13,267,0.3123
31,267,0.6869
3,267,0.3275
18,268,0.3032
9,268,0.1792
7,268,0.4525
6,268,0.3557
2,268,0.7265
4,269,0.6941
21,269,0.6768
1,269,0.1577
29,269,0.216
31,269,0.8837
16,270,0.1592
12,270,0.4399
15,270,0.1644
7,270,0.1583
4,270,0.4555
21,271,0.5683
4,271,0.4472
20,271,0.5402
7,271,0.278
26,271,0.4617
21,272,0.5628
19,272,0.3615
16,272,0.3726
30,272,0.5017
26,272,0.5134
13,273,0.7466
24,273,0.7786
12,273,0.8314
29,273,0.1132
7,273,0.1433
9,274,0.5668
26,274,0.5073
4,274,0.4503
20,274,0.8001
25,274,0.4109
11,275,0.3828
4,275,0.1523
5,275,0.1879
18,275,0.3412
12,275,0.3691
1,276,0.3048
15,276,0.3627
19,276,0.5493
2,276,0.2148
17,276,0.4948
19,277,0.3953
17,277,0.3429
9,277,0.1217
30,277,0.2653
21,277,0.2778
18,278,0.1989
3,278,0.6106
10,278,0.5969
26,278,0.26
8,278,0.498
17,279,0.5527
8,279,0.2014
24,279,0.5884
15,279,0.5138
12,279,0.6043
25,280,0.1746
19,280,0.5377
4,280,0.6068
18,280,0.3089
7,280,0.1576
25,281,0.1545
18,281,0.4558
2,281,0.8601
20,281,0.1584
15,281,0.2025
24,282,0.6147
10,282,0.2417
23,282,0.283
4,282,0.2494
3,282,0.4513
13,283,0.3341
8,283,0.3622
26,283,0.5264
31,283,0.5532
23,283,0.1513
26,284,0.6144
17,284,0.19
20,284,0.404
15,284,0.127
21,284,0.46
17,285,0.5587
19,285,0.8195
32,285,0.7813
16,285,0.7909
27,285,0.6227
4,286,0.4879
29,286,0.2897
30,286,0.5878
1,286,0.3747
6,286,0.6025
10,287,0.1547
26,287,0.8538
20,287,0.6355
31,287,0.8269
4,287,0.6467
25,288,0.4348
22,288,0.3048
8,288,0.2001
29,288,0.168
20,288,0.3118
18,289,0.3507
31,289,0.1549
2,289,0.1214
24,289,0.4912
20,289,0.1566
15,290,0.3815
18,290,0.3831
8,290,0.1947
13,290,0.4272
29,290,0.1653
10,291,0.3775
8,291,0.5804
2,291,0.1559
15,291,0.3315
30,291,0.1784
1,292,0.5421
32,292,0.2359
17,292,0.3695
10,292,0.1264
12,292,0.3981
1,293,0.0781
30,293,0.3389
20,293,0.5642
31,293,0.7715
26,293,0.746
1,294,0.1833
24,294,0.5226
15,294,0.1913
9,294,0.1284
29,294,0.446
22,295,0.5828
6,295,0.4081
7,295,0.578
10,295,0.2143
14,295,0.1456
19,296,0.8708
18,296,0.2012
28,296,0.8786
32,296,0.8059
16,296,0.8219
28,297,0.3199
10,297,0.5044
31,297,0.7571
32,297,0.2217
15,297,0.6253
17,298,0.1905
29,298,0.5663
20,298,0.3756
13,298,0.3004
22,298,0.6334
11,299,0.7457
16,299,0.3907
29,299,0.3293
5,299,0.6399
14,299,0.3428
31,300,0.212
18,300,0.0778
3,300,0.5142
10,300,0.623
9,300,0.16
21,301,0.1437
12,301,0.7416
32,301,0.3322
13,301,0.7831
24,301,0.8112
26,302,0.1491
28,302,0.1914
23,302,0.2196
11,302,0.7492
12,302,0.568
28,303,0.5863
18,303,0.1825
19,303,0.7453
31,303,0.3925
5,303,0.25
2,304,0.0625
25,304,0.367
22,304,0.2227
30,304,0.5207
21,304,0.5623
13,305,0.4169
4,305,0.6698
26,305,0.869
31,305,0.8696
8,305,0.4245
7,306,0.4858
21,306,0.3597
32,306,0.2271
2,306,0.6503
13,306,0.348
27,307,0.4755
19,307,0.682
30,307,0.4914
29,307,0.2092
25,307,0.4611
5,308,0.2265
13,308,0.3672
18,308,0.2906
4,308,0.4831
28,308,0.3588
1,309,0.4781
3,309,0.3031
25,309,0.5913
22,309,0.413
13,309,0.4092
21,310,0.0816
15,310,0.5733
10,310,0.7337
14,310,0.4111
23,310,0.386
10,311,0.465
3,311,0.6078
17,311,0.4003
1,311,0.5656
4,311,0.3316
4,312,0.1019
18,312,0.6681
19,312,0.4557
28,312,0.0685
15,312,0.4942
18,313,0.845
15,313,0.7856
7,313,0.6446
31,313,0.6306
27,313,0.1315
21,314,0.6241
7,314,0.1931
3,314,0.2308
17,314,0.4013
26,314,0.5958
2,315,0.5177
